,user_id,item_id,dwell,dwell_weight,visits,visit_weight,is_collected,rating
0,97e73199-59b2-ea11-a812-000d3ad7a49b,133762,12.002,1.5,1,1,0,1.3
1,97e73199-59b2-ea11-a812-000d3ad7a49b,133787,26.47058823529412,2.5,1,1,0,1.9
2,97e73199-59b2-ea11-a812-000d3ad7a49b,133883,8.811,1.0,1,1,0,1.0
3,97e73199-59b2-ea11-a812-000d3ad7a49b,133884,5.0,0.5,1,1,0,0.7
4,97e73199-59b2-ea11-a812-000d3ad7a49b,134055,5.0,0.5,1,1,0,0.7
5,97e73199-59b2-ea11-a812-000d3ad7a49b,134101,4.0,0.5,1,1,0,0.7
6,97e73199-59b2-ea11-a812-000d3ad7a49b,134670,15.0,2.0,1,1,0,1.6
7,97e73199-59b2-ea11-a812-000d3ad7a49b,134675,7.189,0.5,1,1,0,0.7
8,97e73199-59b2-ea11-a812-000d3ad7a49b,134829,11.0,1.5,1,1,0,1.3
9,97e73199-59b2-ea11-a812-000d3ad7a49b,134845,21.0,2.5,1,1,0,1.9
10,97e73199-59b2-ea11-a812-000d3ad7a49b,134869,31.0,3.0,1,1,0,2.2
11,97e73199-59b2-ea11-a812-000d3ad7a49b,134906,8.998,1.0,1,1,0,1.0
12,97e73199-59b2-ea11-a812-000d3ad7a49b,138474,8.812,1.0,1,1,0,1.0
13,97e73199-59b2-ea11-a812-000d3ad7a49b,138505,10.0,1.0,1,1,0,1.0
14,97e73199-59b2-ea11-a812-000d3ad7a49b,139021,136.0,4.0,1,1,0,2.8
15,97e73199-59b2-ea11-a812-000d3ad7a49b,139034,69.0,3.5,1,1,0,2.5
16,97e73199-59b2-ea11-a812-000d3ad7a49b,139242,441.0,5.0,1,1,0,3.4
17,97e73199-59b2-ea11-a812-000d3ad7a49b,139244,39.165,3.0,1,1,0,2.2
18,97e73199-59b2-ea11-a812-000d3ad7a49b,139248,57.4175,3.5,2,5,0,4.1
19,97e73199-59b2-ea11-a812-000d3ad7a49b,139318,27.0,3.0,1,1,0,2.2
20,97e73199-59b2-ea11-a812-000d3ad7a49b,139402,446.0,5.0,1,1,0,3.4
21,97e73199-59b2-ea11-a812-000d3ad7a49b,139704,22.835,2.5,1,1,0,1.9
22,97e73199-59b2-ea11-a812-000d3ad7a49b,139810,65.165,3.5,1,1,0,2.5
23,97e73199-59b2-ea11-a812-000d3ad7a49b,139856,21.0,2.5,1,1,0,1.9
24,97e73199-59b2-ea11-a812-000d3ad7a49b,139904,85.44444444444444,3.5,1,1,0,2.5
25,97e73199-59b2-ea11-a812-000d3ad7a49b,140208,16.835,2.0,1,1,0,1.6
26,97e73199-59b2-ea11-a812-000d3ad7a49b,140354,227.0,4.5,1,1,0,3.1
27,97e73199-59b2-ea11-a812-000d3ad7a49b,140856,166.835,4.0,1,1,0,2.8
28,97e73199-59b2-ea11-a812-000d3ad7a49b,141151,7.165,0.5,1,1,0,0.7
29,97e73199-59b2-ea11-a812-000d3ad7a49b,141152,26.0,2.5,1,1,0,1.9
